PeP,C,PoP,D,L
0.974366999998335,0.0002576,0.0001986,0.018256599999999,0.0069202
0.999508999998199,0.0001216,9.46000000000015E-05,0.0001787,9.61000000000015E-05
0.999555299998186,0.000134,0.0001282,0.0001251,5.74000000000006E-05
0.999378099998207,0.0001919,9.94000000000016E-05,0.0001735,0.0001571
0.999479599998181,0.0001062,8.79000000000013E-05,0.0002152,0.0001111
0.999514599998225,4.88000000000003E-05,0.0001399,0.0001734,0.0001233
0.99944069999823,0.0001195,0.0002024,0.0001321,0.0001053
0.99940979999821,0.0001709,0.0001202,0.0001494,0.0001497
0.999441999998211,0.0001265,0.0001614,0.0001658,0.0001043
0.999509599998204,0.0001487,0.0001219,9.19000000000014E-05,0.0001279
0.999542599998189,0.000161,8.28000000000012E-05,9.25000000000014E-05,0.0001211
0.935275299998446,0.0020334,0.0045228,0.019048599999999,0.039119900000002
0.99951269999822,9.75000000000015E-05,0.0001376,8.81000000000013E-05,0.0001641
0.99957649999818,8.60000000000013E-05,5.18000000000004E-05,8.51000000000012E-05,0.0002006
0.999477299998217,0.0001704,0.00012,0.0001084,0.0001239
0.999465799998224,0.0001447,0.000158,0.0001023,0.0001292
0.999522999998196,0.0001203,0.0001319,9.35000000000014E-05,0.0001313
0.9995992999982,9.40000000000014E-05,7.7800000000001E-05,0.0001279,0.000101
0.99952769999821,0.0001647,0.0001337,8.60000000000013E-05,8.79000000000014E-05
0.999466499998182,0.0001853,8.78000000000013E-05,9.90000000000016E-05,0.0001614
0.999482599998211,0.0001443,0.0001418,8.54000000000012E-05,0.0001459
0.999474499998216,0.0001333,0.0001334,9.79000000000015E-05,0.0001609
0.999552399998182,0.0001292,0.000107,0.0001236,8.78000000000011E-05
0.999490999998184,0.0001793,8.71000000000013E-05,0.0001247,0.0001179
0.999392199998223,0.000164,0.0001435,0.0001313,0.000169
0.999563699998217,0.0001535,8.07000000000011E-05,0.000114,8.81000000000013E-05
0.999495599998205,0.0001655,0.0001265,0.0001,0.0001124
0.999497299998223,0.0001539,0.0001392,0.0001171,9.25000000000014E-05
0.999496099998206,0.0001849,8.30000000000012E-05,0.0001193,0.0001167
0.999528499998201,0.0001243,0.0001111,6.80000000000008E-05,0.0001681
0.999441599998236,0.0001666,0.0001663,9.33000000000014E-05,0.0001322
0.999562499998202,0.0001105,8.03000000000011E-05,0.0001455,0.0001012
0.999418799998235,0.0001302,9.56000000000015E-05,0.000184,0.0001714
0.999199599998245,0.0003988,0.0001375,0.000133,0.0001311
0.999473899998181,0.0001295,0.000136,0.0001227,0.0001379
0.999472499998212,0.0001291,0.0001883,8.59000000000012E-05,0.0001242
0.999469699998224,0.0001858,0.000116,0.0001183,0.0001102
0.999330699998214,0.0001968,0.0001871,0.0001349,0.0001505
0.999447799998248,0.0001548,0.0001622,0.0001263,0.0001089
0.99944219999824,0.0001388,0.0001233,0.0001273,0.0001684
0.999498099998157,0.0001232,0.0001338,0.0001409,0.000104
0.9995760999982,8.22000000000007E-05,0.0001043,0.0001082,0.0001292
0.999503099998201,7.17000000000009E-05,0.0001556,0.0001425,0.0001271
0.99954749999821,0.0001108,9.71000000000015E-05,8.22000000000012E-05,0.0001624
0.999504299998212,0.000124,0.0001359,0.0001197,0.0001161
0.999572699998188,8.39000000000011E-05,9.48000000000015E-05,0.00013,0.0001186
0.999571099998198,0.0001513,0.0001171,8.80000000000013E-05,7.25000000000009E-05
0.999598199998183,9.04000000000012E-05,0.0001329,9.57000000000015E-05,8.28000000000012E-05
0.999547999998181,5.53000000000005E-05,0.0001451,0.0001443,0.0001073
0.999512599998188,0.0001228,0.0001142,9.78000000000015E-05,0.0001526
